Task | Success rate | Errors | Distribution
bucket | 70.0% | [2, 4, 7] | [7, 0, 1, 0, 1, 0, 0, 1, 0, 0]
bucket-bucket_log | 20.0% | [0, 1, 2, 3, 4, 6, 8, 9] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
bucket-bucket_object | 30.0% | [1, 2, 3, 4, 6, 9] | [2, 1, 2, 1, 1, 1, 1, 0, 0, 1]
bucket_state_import | 70.0% | [1, 2] | [3, 2, 1, 2, 1, 0, 0, 0, 0, 1]
customer_gateway | 80.0% | [0, 7] | [1, 5, 0, 0, 0, 1, 1, 1, 0, 1]
data_ami | 100.0% | [] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
data_ami-instance | 100.0% | [] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
db_instance | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
elb | 0.0% | [0, 1, 2, 3, 4, 5, 6, 7, 9] | [1, 1, 1, 1, 1, 2, 1, 1, 0, 1]
iam_user | 0.0% | [0, 2, 3, 6, 9] | [4, 0, 3, 1, 0, 0, 1, 0, 0, 1]
instance | 100.0% | [] | [10, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance-output_dns | 40.0% | [0, 2, 4, 7] | [1, 4, 3, 0, 1, 0, 0, 1, 0, 0]
instance-output_ip | 50.0% | [0, 2, 3, 6, 7] | [1, 5, 1, 1, 0, 0, 1, 1, 0, 0]
instance-time | 0.0% | [0, 1, 3, 4, 6, 8] | [1, 3, 0, 1, 1, 0, 2, 0, 2, 0]
instance_before_destroy | 100.0% | [] | [6, 0, 1, 1, 0, 0, 2, 0, 0, 0]
instance_connection | 40.0% | [1, 3, 7] | [1, 3, 1, 2, 0, 0, 0, 1, 1, 1]
instance_count | 100.0% | [] | [5, 0, 2, 2, 0, 0, 0, 1, 0, 0]
instance_ignore_tags | 10.0% | [0, 2, 3, 4, 5] | [3, 1, 3, 1, 1, 1, 0, 0, 0, 0]
instance_prevent_destroy | 100.0% | [] | [8, 0, 0, 1, 1, 0, 0, 0, 0, 0]
instance_zone_1 | 100.0% | [] | [10, 0, 0, 0, 0, 0, 0, 0, 0, 0]
instance_zone_2 | 100.0% | [] | [10, 0, 0, 0, 0, 0, 0, 0, 0, 0]
provider-vpc-vpc | 80.0% | [2, 5] | [1, 4, 1, 0, 1, 1, 0, 1, 1, 0]
random_pet-bucket | 90.0% | [2] | [2, 2, 1, 3, 2, 0, 0, 0, 0, 0]
required_version | 100.0% | [] | [10, 0, 0, 0, 0, 0, 0, 0, 0, 0]
security_lots | 10.0% | [1, 2, 4, 6, 8] | [1, 1, 5, 0, 1, 0, 1, 0, 1, 0]
security_ssh | 90.0% | [7] | [2, 1, 1, 2, 0, 1, 1, 1, 1, 0]
security_ssh-instance | 10.0% | [0, 1, 2, 3, 4, 5, 6, 8, 9] | [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
security_web | 90.0% | [9] | [1, 1, 3, 0, 0, 2, 0, 1, 1, 1]
