,file,rule_id
0,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-default_network_acl/sample5/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
1,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-default_network_acl/sample2/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
2,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-default_network_acl/sample3/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
3,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-default_network_acl/sample4/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
4,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-default_network_acl/sample8/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
5,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-default_network_acl/sample1/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
6,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-default_network_acl/sample6/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
7,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-default_network_acl/sample7/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
8,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-default_network_acl/sample9/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
9,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-default_network_acl/sample10/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
10,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample5/main 2.tf,aws-ec2-no-public-ip-subnet
11,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample5/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
12,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample2/main 2.tf,aws-ec2-no-public-ip-subnet
13,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample2/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
14,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample3/main 2.tf,aws-ec2-no-public-ip-subnet
15,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample3/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
16,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample4/main 2.tf,aws-ec2-no-public-ip-subnet
17,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample4/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
18,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample8/main 2.tf,aws-ec2-no-public-ip-subnet
19,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample8/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
20,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample1/main 2.tf,aws-ec2-no-public-ip-subnet
21,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample1/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
22,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample6/main 2.tf,aws-ec2-no-public-ip-subnet
23,/Users/eliasberger/Documents/Programming/terraform-security-fixer/CodeGen_ChatGPT/vpc-subnet/sample6/main 2.tf,aws-ec2-require-vpc-flow-logs-for-all-vpcs
